combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
5,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,120729.99929979444,2.699378677711689,-12940.000422149897,60.863509749303624,168.14763133676107,21.634045077105576,3372,936,718,,,,,,,
6,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.4,119684.99930344522,2.679467794543931,-12985.000425130129,60.863509749303624,166.69219958697107,21.78720860729229,3346,962,718,,,,,,,
7,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.5,119089.99929316342,2.670254582784054,-13090.000422373414,60.863509749303624,165.86350876485156,21.89002403846154,3328,980,718,,,,,,,
2,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,False,0.4,117749.99929644167,2.651439779890492,-12955.000366792083,61.14206128133704,163.99721350479342,22.647427854454204,3188,402,718,,,,,,,
1,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,False,0.3,117749.99929644167,2.651439779890492,-12955.000366792083,61.14206128133704,163.99721350479342,22.647427854454204,3188,402,718,,,,,,,
3,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,False,0.5,117749.99929644167,2.651439779890492,-12955.000366792083,61.14206128133704,163.99721350479342,22.647427854454204,3188,402,718,,,,,,,
0,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,False,0.2,117749.99929644167,2.651439779890492,-12955.000366792083,61.14206128133704,163.99721350479342,22.647427854454204,3188,402,718,,,,,,,
4,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.2,119059.99935261905,2.6360093641386335,-12890.000424683094,60.863509749303624,165.82172611785384,21.529619805481875,3393,915,718,,,,,,,
13,100,2.25,1.25,True,True,10,current,,25.0,8.0,True,True,0.3,121764.99944716692,2.607507132332432,-12580.000405609608,61.14206128133704,169.5891357202882,20.69401517280135,3559,1467,718,,,,,,,
14,100,2.25,1.25,True,True,10,current,,25.0,8.0,True,True,0.4,119844.99943010509,2.5719807825691814,-12405.00041745603,61.00278551532033,166.9150409890043,20.94844773568784,3511,1515,718,,,,,,,
8,100,2.25,1.25,True,True,10,current,,25.0,8.0,True,False,0.2,119269.99943502247,2.5683747542441817,-12595.000350251794,60.863509749303624,166.11420534125693,21.45166029973553,3403,905,718,,,,,,,
9,100,2.25,1.25,True,True,10,current,,25.0,8.0,True,False,0.3,118784.99944381416,2.5644492527296974,-12595.000350251794,60.863509749303624,165.43871788832055,21.6,3375,933,718,,,,,,,
15,100,2.25,1.25,True,True,10,current,,25.0,8.0,True,True,0.5,118794.99946802855,2.5627640152998303,-12565.000413358212,61.00278551532033,165.452645498647,21.18546293625613,3467,1559,718,,,,,,,
10,100,2.25,1.25,True,True,10,current,,25.0,8.0,True,False,0.4,117909.99942310154,2.547947024912906,-12375.000359117985,60.863509749303624,164.22005490682668,21.726811810319116,3353,955,718,,,,,,,
11,100,2.25,1.25,True,True,10,current,,25.0,8.0,True,False,0.5,117454.9994713068,2.5473152018141585,-12430.00035777688,60.724233983286915,163.58635023858886,21.88157499248572,3327,981,718,,,,,,,
12,100,2.25,1.25,True,True,10,current,,25.0,8.0,True,True,0.2,120579.99949119985,2.5459759687643344,-12530.000408142805,61.28133704735376,167.93871795431735,20.46840354767184,3608,1418,718,,,,,,,
